[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Range graph generated
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for setStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for setStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function setStorageBool
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for setStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for setStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function setStorageAddress
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for setStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for setStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function setStorageBytes32
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for setStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for setStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function setStorageUint256
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for initialize
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for initialize
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function initialize
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function transferToVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function allowRecoverability
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getRecoveryVault
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for acl
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for acl
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function acl
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function hasPermission
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for setApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for setApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function setApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for getApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for getApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function getApp
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Generating return summary for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Return summary generated for arr
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | State variable assignement do not exist
[INFO] | 2026-09-17 11:26:37 AM | analyzer.BatchedBancorMarketMaker_fix | Processed function arr
