[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for approveSAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for approveSAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Range graph generated
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function approveSAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for denySAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for denySAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Range graph generated
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function denySAFEModification
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Generating return summary for constructor
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Return summary generated for constructor
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Range graph generated
[INFO] | 2026-09-17 12:18:55 PM | analyzer.AccountingEngine | Processed function constructor
