[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedReportingParticipantTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedMarketTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedUniverseTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function trustedDisputeWindowTransfer
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getUniverse
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | State variable assignement do not exist
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Processed function getTotalMigrated
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Generating return summary for getTotalTheoreticalSupply
[INFO] | 2026-09-17 12:50:03 PM | analyzer.GnosisSafeRegistry | Return summary generated for getTotalTheoreticalSupply
