[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Range graph generated
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Range graph generated
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Range graph generated
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Range graph generated
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Range graph generated
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function slitherConstructorConstantVariables
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for getStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for getStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function getStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for getStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for getStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function getStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for getStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for getStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function getStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for getStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for getStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function getStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for setStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for setStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function setStorageBool
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for setStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for setStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function setStorageAddress
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for setStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for setStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function setStorageBytes32
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for setStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Return summary generated for setStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | State variable assignement do not exist
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Processed function setStorageUint256
[INFO] | 2026-09-17 12:29:50 PM | analyzer.BatchedBancorMarketMaker | Generating return summary for initialize
